open_time,open,high,low,close,volume
1732035720000,92491.33,92566.65,92450.98,92502.13,82.35795
1732035780000,92502.13,92544.0,92449.0,92532.0,66.51666
1732035840000,92532.0,92550.0,92492.0,92517.65,29.42369
1732035900000,92517.65,92588.12,92515.15,92585.47,21.98322
1732035960000,92585.46,92616.0,92585.46,92611.29,32.73511
1732036020000,92611.29,92700.0,92610.0,92687.0,36.63532
1732036080000,92687.0,92799.0,92686.99,92744.01,163.24838
1732036140000,92744.01,92900.0,92741.98,92879.86,182.05384
1732036200000,92879.87,92912.0,92780.13,92859.99,82.80899
1732036260000,92859.99,92897.71,92802.5,92827.99,49.47416
1732036320000,92827.99,92840.0,92747.35,92750.23,27.75674
1732036380000,92750.23,92750.24,92640.54,92652.0,31.61194
1732036440000,92652.0,92743.19,92560.01,92743.19,37.66059
1732036500000,92743.18,92824.0,92743.18,92762.31,28.07668
1732036560000,92762.3,92762.31,92622.15,92623.92,41.87958
1732036620000,92623.92,92624.0,92568.0,92617.0,35.66184
1732036680000,92617.01,92644.1,92575.75,92610.35,45.09321
1732036740000,92610.35,92643.98,92584.0,92590.66,47.06509
1732036800000,92590.66,92636.37,92510.0,92511.99,29.59484
1732036860000,92512.0,92520.57,92500.0,92516.82,14.60639
1732036920000,92516.82,92516.82,92339.26,92395.55,62.54368
1732036980000,92395.54,92500.0,92395.54,92494.91,21.93705
1732037040000,92494.9,92600.0,92494.9,92600.0,23.42858
1732037100000,92599.99,92736.2,92599.99,92736.2,29.97918
1732037160000,92736.2,92810.0,92719.58,92768.15,29.08789
1732037220000,92768.14,92847.61,92757.57,92845.5,18.73306
1732037280000,92845.51,92930.0,92813.0,92888.0,73.4738
1732037340000,92888.01,92888.01,92755.9,92840.01,27.61326
1732037400000,92840.01,92840.02,92773.14,92800.47,23.06042
1732037460000,92800.47,92836.0,92708.58,92795.25,39.20262
1732037520000,92795.25,92848.0,92729.78,92847.99,19.0787
1732037580000,92847.99,92909.1,92818.18,92897.43,28.81554
1732037640000,92897.44,93068.0,92897.43,93068.0,411.25449
1732037700000,93067.99,93142.81,92981.4,93058.84,175.79895
1732037760000,93058.84,93173.91,93048.35,93173.9,59.05211
1732037820000,93173.91,93248.83,93151.1,93152.0,155.6964
1732037880000,93152.01,93265.8,93076.0,93260.66,75.66966
1732037940000,93260.66,93260.67,93152.0,93152.0,37.79122
1732038000000,93152.0,93170.14,92980.0,93067.9,68.94991
1732038060000,93067.9,93114.0,92967.5,92975.99,89.58997
1732038120000,92976.0,92983.76,92820.0,92864.17,72.50024
1732038180000,92864.18,92864.18,92760.01,92839.99,40.8859
1732038240000,92839.99,92856.0,92716.06,92756.01,73.16641
1732038300000,92756.01,92834.5,92656.0,92683.98,94.65744
1732038360000,92683.99,92694.0,92500.0,92620.77,96.78408
1732038420000,92620.78,92787.88,92564.0,92764.05,40.36275
1732038480000,92764.06,92792.0,92627.99,92688.95,54.72021
1732038540000,92688.95,92688.95,92608.0,92688.95,35.12781
1732038600000,92688.94,92736.0,92688.94,92729.87,32.8389
1732038660000,92729.87,92784.0,92684.14,92784.0,63.99808
1732038720000,92784.0,92791.82,92692.92,92708.02,52.84613
1732038780000,92708.01,92742.51,92652.0,92663.99,38.53663
1732038840000,92663.99,92674.68,92516.11,92523.99,29.76337
1732038900000,92524.0,92646.38,92523.99,92644.56,30.69935
1732038960000,92644.55,92727.28,92590.89,92727.28,28.98989
1732039020000,92727.27,92783.28,92708.0,92783.28,37.59234
1732039080000,92783.28,92812.0,92683.09,92732.04,22.79623
1732039140000,92732.03,92864.0,92720.0,92853.76,35.58034
1732039200000,92853.75,92853.76,92733.5,92794.87,13.68785
1732039260000,92794.87,92818.19,92753.75,92771.99,16.96149
